agrupacion, numFotos, numAudios, numTextiles
kickapoo, 3 , 0 , 1
papago, 0 , 0 , 0
pima, 0 , 2 , 1
tepehuanodelnorte, 0 , 0 , 0
tepehuanodelsur, 2 , 6 , 1
tarahumara, 3 , 17 , 1
guarijio, 0 , 3 , 2
yaqui, 0 , 0 , 2
mayo, 3 , 0 , 2
cora, 4 , 0 , 2
huichol, 6 , 15 , 4
nahuatl, 4 , 0 , 2
paipai, 3 , 0 , 0
kuahl, 1 , 0 , 0
cucapa, 0 , 0 , 0
kumiai, 4 , 2 , 0
kiliwa, 2 , 0 , 0
seri, 0 , 0 , 1
otomi, 0 , 19 , 2
mazahua, 6 , 17 , 2
matlatzinca, 15 , 0 , 2
tlahuica, 6 , 0 , 0
pame, 0 , 1 , 0
chichimecojonaz, 0 , 0 , 0
chinanteco, 3 , 17 , 2
tlapaneco, 0 , 16 , 2
mazateco, 0 , 1 , 3
ixcateco, 0 , 0 , 0
chocholteco, 0 , 0 , 0
popoloca, 0 , 14 , 2
zapoteco, 12 , 16 , 1
chatino, 0 , 2 , 1
amuzgo, 4 , 1 , 4
mixteco, 6 , 14 , 2
cuicateco, 0 , 0 , 0
triqui, 2 , 15 , 2
huasteco, 0 , 1 , 2
maya, 0 , 2 , 1
lacandon, 0 , 0 , 2
chol, 0 , 1 , 2
chontaldetabasco, 0 , 0 , 2
tseltal, 0 , 17 , 1
tsotsil, 0 , 24 , 2
qanjobal, 0 , 0 , 0
akateko, 0 , 0 , 0
jakalteko, 0 , 0 , 0
qatok, 0 , 0 , 0
chuj, 0 , 0 , 2
tojolabal, 0 , 0 , 1
qeqchi, 0 , 0 , 0
kiche, 0 , 0 , 1
kaqchikel, 0 , 0 , 2
teko, 0 , 0 , 0
mam, 0 , 1 , 2
awakateko, 0 , 0 , 0
ixil, 0 , 0 , 0
totonaco, 0 , 0 , 2
tepehua, 0 , 0 , 1
tarasco, 4 , 0 , 2
mixe, 1 , 14 , 1
sayulteco, 3 , 0 , 0
oluteco, 3 , 0 , 0
texistepequeno, 1 , 0 , 0
ayapaneco, 1 , 0 , 0
popolucadelasierra, 1 , 0 , 1
zoque, 0 , 5 , 1
chontaldeoaxaca, 0 , 1 , 2
huave, 16 , 1 , 2
